,SYMBOL,BID,BIDSIZ,OFR,OFRSIZ,PRICE,SIZE
0,KO,62.1,4,62.15,11,62.15,1.0
1,KO,62.12,2,62.15,11,62.15,1.0
2,KO,62.09,1,62.13,1,62.1,566.0
3,KO,62.07,1,62.12,1,62.09,200.0
4,KO,62.07,1,62.13,2,62.12,1.0
5,KO,62.05,1,62.12,1,62.08,1.0
6,KO,62.05,1,62.12,1,62.07,50.0
7,KO,62.04,1,62.12,1,62.05,27.0
8,KO,62.03,1,62.12,1,62.04,139.0
9,KO,62.08,1,62.12,1,62.11,50.0
10,KO,62.08,1,62.13,1,62.11,80.0
11,KO,62.08,8,62.13,1,62.1,10.0
12,KO,62.09,1,62.12,1,62.11,36.0
13,KO,62.09,1,62.13,1,62.11,131.0
14,KO,62.1,1,62.13,3,62.12,1.0
15,KO,62.09,1,62.13,3,62.1,100.0
16,KO,62.09,1,62.13,3,62.13,1.0
17,KO,62.11,4,62.13,1,62.13,100.0
18,KO,62.11,4,62.13,1,62.13,100.0
19,KO,62.11,4,62.13,1,62.13,100.0
20,KO,62.11,5,62.13,1,62.13,29.0
21,KO,62.12,2,62.13,1,62.13,100.0
22,KO,62.12,2,62.13,1,62.13,100.0
23,KO,62.12,3,62.13,1,62.13,21.0
24,KO,62.12,3,62.13,1,62.13,100.0
25,KO,62.12,3,62.13,1,62.13,100.0
26,KO,62.12,3,62.13,1,62.13,100.0
27,KO,62.12,3,62.13,1,62.13,100.0
28,KO,62.12,3,62.13,1,62.13,100.0
29,KO,62.12,3,62.13,1,62.13,100.0
30,KO,62.12,3,62.13,1,62.13,100.0
31,KO,62.12,1,62.15,11,62.13,200.0
32,KO,62.12,8,62.15,11,62.13,2.0
33,KO,62.12,7,62.14,1,62.12,14.0
34,KO,62.11,6,62.14,1,62.12,689.0
35,KO,62.12,2,62.15,11,62.14,86.0
36,KO,62.13,7,62.17,1,62.15,23.0
37,KO,62.17,5,62.21,3,62.19,125.0
38,KO,62.17,5,62.19,1,62.18,100.0
39,KO,62.16,7,62.21,3,62.2,100.0
40,KO,62.17,6,62.21,3,62.19,500.0
41,KO,62.16,8,62.19,2,62.18,600.0
42,KO,62.16,5,62.18,4,62.17,10.0
43,KO,62.16,2,62.19,2,62.18,10.0
44,KO,62.18,7,62.21,2,62.2,100.0
45,KO,62.2,1,62.23,2,62.21,201.0
46,KO,62.2,7,62.24,21,62.22,40.0
47,KO,62.2,7,62.24,21,62.2,500.0
48,KO,62.19,4,62.22,1,62.21,28.0
49,KO,62.19,1,62.21,4,62.21,72.0
50,KO,62.19,6,62.22,1,62.21,450.0
51,KO,62.19,8,62.22,3,62.21,20.0
52,KO,62.2,1,62.22,4,62.21,20.0
53,KO,62.2,2,62.24,23,62.22,94.0
54,KO,62.21,1,62.24,20,62.22,100.0
55,KO,62.21,1,62.24,22,62.23,100.0
56,KO,62.22,3,62.24,9,62.24,1050.0
57,KO,62.22,2,62.23,1,62.23,100.0
58,KO,62.21,1,62.23,1,62.22,100.0
59,KO,62.2,1,62.22,10,62.21,100.0
60,KO,62.18,9,62.21,5,62.19,100.0
61,KO,62.21,16,62.22,1,62.22,14.0
62,KO,62.21,8,62.24,9,62.22,100.0
63,KO,62.21,8,62.23,13,62.22,100.0
64,KO,62.19,13,62.21,2,62.2,100.0
65,KO,62.2,15,62.23,11,62.2,200.0
66,KO,62.19,1,62.2,2,62.2,100.0
67,KO,62.17,2,62.18,1,62.18,23.0
68,KO,62.16,9,62.19,16,62.18,24.0
69,KO,62.15,10,62.17,5,62.16,100.0
70,KO,62.14,12,62.16,1,62.15,100.0
71,KO,62.15,11,62.18,18,62.17,5.0
72,KO,62.16,1,62.18,14,62.18,5.0
73,KO,62.17,2,62.19,7,62.19,5.0
74,KO,62.17,1,62.19,8,62.18,5.0
75,KO,62.17,9,62.2,9,62.19,5.0
76,KO,62.17,1,62.19,7,62.18,100.0
77,KO,62.18,10,62.21,9,62.19,900.0
78,KO,62.18,11,62.2,1,62.19,20.0
79,KO,62.15,9,62.18,5,62.17,100.0
80,KO,62.16,10,62.18,4,62.17,44.0
81,KO,62.16,2,62.17,3,62.17,100.0
82,KO,62.16,11,62.18,8,62.17,60.0
83,KO,62.19,2,62.21,6,62.18,200.0
84,KO,62.19,3,62.21,10,62.2,2.0
85,KO,62.16,11,62.18,2,62.17,82.0
86,KO,62.18,12,62.2,1,62.18,200.0
87,KO,62.19,11,62.21,3,62.21,94.0
88,KO,62.2,7,62.22,2,62.21,250.0
89,KO,62.21,14,62.23,9,62.22,5.0
90,KO,62.22,3,62.24,12,62.22,1.0
91,KO,62.2,10,62.22,1,62.22,200.0
92,KO,62.19,11,62.21,8,62.2,100.0
93,KO,62.2,13,62.22,11,62.2,200.0
94,KO,62.19,10,62.21,12,62.2,100.0
95,KO,62.2,2,62.22,11,62.2,100.0
96,KO,62.2,11,62.22,9,62.21,100.0
97,KO,62.22,3,62.24,11,62.22,100.0
98,KO,62.22,3,62.24,12,62.23,2.0
99,KO,62.22,17,62.24,10,62.23,7.0
100,KO,62.23,2,62.24,9,62.23,52.0
101,KO,62.22,17,62.23,1,62.23,100.0
102,KO,62.22,4,62.24,15,62.23,10.0
103,KO,62.2,3,62.21,2,62.21,32.0
104,KO,62.17,8,62.18,2,62.18,22.0
105,KO,62.17,11,62.19,3,62.18,100.0
106,KO,62.18,12,62.2,12,62.19,1200.0
107,KO,62.17,8,62.19,12,62.18,100.0
108,KO,62.15,10,62.17,1,62.17,100.0
109,KO,62.14,4,62.16,11,62.15,100.0
110,KO,62.15,8,62.16,1,62.16,100.0
111,KO,62.13,9,62.15,12,62.14,1.0
112,KO,62.15,10,62.16,1,62.16,24.0
113,KO,62.16,2,62.17,3,62.17,100.0
114,KO,62.14,11,62.16,3,62.16,40.0
115,KO,62.16,9,62.18,10,62.17,200.0
116,KO,62.16,2,62.17,8,62.17,32.0
117,KO,62.18,1,62.19,1,62.18,200.0
118,KO,62.17,9,62.2,11,62.19,300.0
119,KO,62.18,5,62.2,4,62.19,1.0
120,KO,62.18,12,62.21,11,62.19,1.0
121,KO,62.18,13,62.21,11,62.2,10.0
122,KO,62.16,10,62.18,7,62.18,100.0
123,KO,62.14,11,62.16,5,62.16,100.0
124,KO,62.15,9,62.17,4,62.15,300.0
125,KO,62.14,7,62.16,6,62.15,100.0
126,KO,62.13,2,62.15,2,62.14,100.0
127,KO,62.16,1,62.17,9,62.16,700.0
128,KO,62.15,12,62.17,3,62.17,100.0
129,KO,62.17,8,62.18,7,62.18,100.0
130,KO,62.17,2,62.18,1,62.18,21.0
131,KO,62.17,3,62.18,1,62.18,100.0
132,KO,62.16,2,62.17,4,62.17,100.0
133,KO,62.15,2,62.16,3,62.15,100.0
134,KO,62.14,10,62.16,3,62.15,201.0
135,KO,62.15,2,62.17,12,62.15,100.0
136,KO,62.13,11,62.15,7,62.15,200.0
137,KO,62.12,10,62.15,12,62.13,200.0
138,KO,62.13,3,62.14,9,62.14,100.0
139,KO,62.19,4,62.21,12,62.2,200.0
140,KO,62.18,5,62.19,10,62.19,100.0
141,KO,62.16,11,62.19,15,62.18,29.0
142,KO,62.16,5,62.17,1,62.17,16.0
143,KO,62.16,20,62.17,1,62.17,104.0
144,KO,62.16,10,62.17,1,62.17,5.0
