Last,Bid,Ask,Change,Volume,Open Int,IV,Last Trade,Strike,Last,Bid,Ask,Change,Volume,Open Int,IV,Last Trade
0,4192.2,4212.3,0,0,0,293.44%,N/A,200,0.05,0.1,0.05,0,0,0,0.00%,2/10/2022
0,3995.8,4005.7,0,0,0,182.44%,N/A,400,0.05,0.05,0.25,0,0,0,0.00%,2/9/2022
0,3792.6,3812.7,0,0,0,183.58%,N/A,600,0.07,0.05,0.2,0,0,0,117.53%,2/9/2022
0,3596.7,3609.7,0,0,0,147.96%,N/A,800,0.25,0.1,0.45,-0.3,10,0,106.16%,2/11/2022
0,3397.3,3406.9,0,0,0,118.75%,N/A,1000,0.47,0.25,0.65,0.27,5,0,97.53%,2/11/2022
0,3297.6,3310.6,0,0,0,89.02%,N/A,1100,0.35,0.35,0.75,0,0,0,92.69%,2/8/2022
0,3198,3210.9,0,0,0,88.97%,N/A,1200,0.43,0.5,0.95,0,0,0,89.29%,2/8/2022
0,3098,3111,0,0,0,84.22%,N/A,1300,1.1,0.7,1.15,0.64,4,0,87.49%,2/11/2022
0,2998.8,3011.7,0,0,0,85.07%,N/A,1400,0.65,1,1.4,0,0,0,83.11%,2/10/2022
0,2898.9,2911.8,0,0,0,80.73%,N/A,1500,0,1.2,1.7,0,0,0,79.89%,N/A
0,2799.8,2812.6,0,0,0,79.89%,N/A,1600,0,1.55,2.05,0,0,0,77.13%,N/A
0,2700.4,2713.2,0,0,0,77.39%,N/A,1700,1.05,1.95,2.5,0,0,0,74.53%,2/10/2022
0,2601.1,2613.8,0,0,0,74.82%,N/A,1800,1.6,2.45,2.95,0,0,0,71.95%,2/10/2022
0,2501.4,2514.2,0,0,0,71.44%,N/A,1900,2.1,3,3.5,0,0,0,69.45%,2/7/2022
0,2452.2,2464.9,0,0,0,70.99%,N/A,1950,0,3.3,3.8,0,0,0,68.22%,N/A
0,2402.2,2412,0,0,0,65.76%,N/A,2000,2.15,3.6,4.1,0,0,0,66.95%,2/10/2022
0,2353.1,2362.4,0,0,0,65.34%,N/A,2050,2.2,3.9,4.5,0,0,0,65.77%,2/9/2022
0,2303.1,2315.8,0,0,0,66.60%,N/A,2100,4.77,4.3,4.8,0.65,5,0,64.97%,2/11/2022
0,2253.9,2263.6,0,0,0,63.49%,N/A,2150,3.1,4.7,5.2,0,0,0,63.40%,2/10/2022
0,2204.5,2213.9,0,0,0,62.38%,N/A,2200,2.81,5.1,5.7,0,0,0,62.30%,2/9/2022
0,2155.1,2164.4,0,0,0,61.38%,N/A,2250,10.2,5.5,6.1,0,0,0,61.08%,1/28/2022
0,2105.6,2118.1,0,0,0,62.31%,N/A,2300,4.49,6,6.6,-0.71,1,0,59.99%,2/11/2022
0,2056.2,2066.1,0,0,0,59.62%,N/A,2350,3.7,6.5,7.1,0,0,0,58.86%,2/9/2022
0,2006.9,2019.3,0,0,0,60.00%,N/A,2400,5.5,7,7.7,0,0,0,57.77%,2/7/2022
0,1957.6,1969.9,0,0,0,58.83%,N/A,2450,5.71,7.6,8.3,-1.69,2,0,56.70%,2/11/2022
0,1908.3,1920.6,0,0,0,57.68%,N/A,2500,6.17,8.2,8.9,1.13,6,0,55.59%,2/11/2022
"2,125.03",1859,1871.3,0,0,0,56.50%,1/11/2022,2550,14.6,8.8,9.6,0,0,0,54.51%,1/27/2022
0,1804.7,1819.4,0,0,0,51.92%,N/A,2600,7.28,9.5,10.3,-1.42,1,0,53.44%,2/11/2022
0,1760.7,1772.9,0,0,0,54.29%,N/A,2650,7.73,10.2,11.1,-9.07,4,0,52.39%,2/11/2022
0,1708.6,1728.7,0,0,0,53.84%,N/A,2700,8.56,11,11.9,0.36,1,0,51.34%,2/11/2022
0,1662.7,1671.5,0,0,0,51.05%,N/A,2750,20.23,11.9,12.8,0,0,0,50.34%,1/26/2022
