Last,Bid,Ask,Change,Volume,Open Int,IV,Last Trade,Strike,Last,Bid,Ask,Change,Volume,Open Int,IV,Last Trade
"4,240.40",4183,4193,0,0,0,182.46%,1/31/2022,200,0.1,0.05,0.05,0,0,0,0.00%,9/23/2021
"4,149.90",3984.1,3993.7,0,0,0,142.19%,1/18/2022,400,0.15,0.05,0.3,0,0,0,104.42%,2/3/2022
"4,086.60",3785.4,3795.3,0,0,0,94.77%,1/12/2022,600,0.4,0.15,0.4,0.1,10,0,92.59%,2/11/2022
0,3586.9,3596.8,0,0,0,92.88%,N/A,800,1.2,0.6,1.2,0,0,0,85.36%,1/28/2022
0,3388.6,3398.5,0,0,0,86.91%,N/A,1000,1.55,1.35,1.95,0,0,0,79.09%,2/3/2022
0,3289.6,3299.4,0,0,0,83.85%,N/A,1100,1.8,1.8,2.35,0,0,0,76.01%,2/10/2022
0,3190.6,3199.5,0,0,0,79.92%,N/A,1200,2.15,2.3,2.85,0,0,0,73.17%,2/10/2022
0,3091.7,3101,0,0,0,77.51%,N/A,1300,2.5,2.9,3.5,0,0,0,70.63%,2/10/2022
0,2992.8,3002.5,0,0,0,74.94%,N/A,1400,4.66,3.6,4.3,0,0,0,68.28%,1/28/2022
0,2894.1,2903.7,0,0,0,72.24%,N/A,1500,4.1,4.3,5.1,0,0,0,65.84%,2/3/2022
0,2795.4,2805,0,0,0,69.59%,N/A,1600,7.42,5.2,6,0,0,0,63.59%,1/28/2022
0,2696.9,2706.4,0,0,0,67.09%,N/A,1700,8.82,6.1,7,0,0,0,61.34%,1/28/2022
0,2598.4,2608,0,0,0,64.66%,N/A,1800,6,7.2,8.1,-0.05,40,0,59.23%,2/11/2022
0,2500.2,2509.6,0,0,0,62.34%,N/A,1900,6,8.5,9.3,0,0,0,57.21%,2/9/2022
"2,643.30",2402,2411.4,0,0,0,60.06%,11/4/2021,2000,9.43,9.9,10.6,0,0,1,55.22%,2/3/2022
0,2304.1,2313.4,0,0,0,57.92%,N/A,2100,7.95,11.5,12.2,0,0,0,53.35%,2/10/2022
0,2206.3,2215.6,0,0,0,55.82%,N/A,2200,13.5,13.2,13.8,4.54,67,0,51.45%,2/11/2022
0,2108.8,2117.9,0,0,0,53.78%,N/A,2300,15.45,15.2,15.8,2.75,9,0,49.67%,2/11/2022
0,2011.6,2020.5,0,0,0,51.83%,N/A,2400,15.5,17.4,18,1.05,126,0,47.97%,2/11/2022
"2,159.39",1914.7,1923.5,0,0,0,49.96%,11/10/2021,2500,20.72,19.9,20.9,3.43,404,0,46.53%,2/11/2022
0,1818.1,1826.7,0,0,0,48.12%,N/A,2600,25.62,22.6,23.7,6.22,44,1,44.72%,2/11/2022
0,1769.9,1778.5,0,0,0,47.23%,N/A,2650,27.54,24.1,25.3,0,0,0,43.93%,1/28/2022
"1,727.70",1721.8,1730.3,0,0,0,46.33%,10/14/2021,2700,25.27,25.7,26.9,0,0,0,43.12%,2/4/2022
"1,680.49",1673.9,1682.3,0,0,0,45.47%,10/14/2021,2750,23.7,27.4,28.7,0,0,0,42.34%,2/7/2022
"1,833.39",1626.1,1634.3,0,0,0,44.61%,12/15/2021,2800,27.18,29.3,30.6,0,0,0,41.58%,2/3/2022
0,1578.4,1586.5,0,0,0,43.76%,N/A,2850,28.55,31.5,32.6,7.35,2,0,40.86%,2/11/2022
0,1530.9,1538.9,0,0,0,42.94%,N/A,2900,26.42,33.7,34.8,0,0,0,40.13%,2/2/2022
0,1483.5,1491.4,0,0,0,42.13%,N/A,2950,27.01,36,37.1,0,0,0,39.39%,2/10/2022
"1,338.35",1436.3,1444.1,0,0,0,41.33%,1/24/2022,3000,43,38.5,39.6,9.5,2,0,38.67%,2/11/2022
0,1412.8,1420.5,0,0,0,40.94%,N/A,3025,40,39.8,41,0,0,0,38.33%,1/31/2022
0,1389.4,1397,0,0,0,40.56%,N/A,3050,35.8,41.1,42.4,7.8,1,0,37.97%,2/11/2022
0,1366,1373.5,0,0,0,40.17%,N/A,3075,29,42.5,43.8,0,0,0,37.62%,2/9/2022
0,1342.6,1350.1,0,0,0,39.79%,N/A,3100,30.65,44.1,45.3,0,0,0,37.29%,2/9/2022
0,1319.3,1326.8,0,0,0,39.42%,N/A,3125,32.09,45.6,46.9,0,0,0,36.96%,2/10/2022
0,1296.1,1303.5,0,0,0,39.05%,N/A,3150,59.07,47.2,48.5,0,0,0,36.62%,1/28/2022
0,1273,1280.2,0,0,0,38.68%,N/A,3175,41.82,48.9,50.2,0,0,0,36.30%,12/29/2021
"1,433.04",1249.9,1257.1,0,0,0,38.32%,1/10/2022,3200,52.59,50.7,51.9,11.63,580,0,35.97%,2/11/2022
"1,256.00",1226.9,1234,0,0,0,37.96%,8/10/2021,3225,45.6,52.4,53.8,10.42,6,0,35.64%,2/11/2022
0,1203.9,1211,0,0,0,37.60%,N/A,3250,42.21,54.3,55.7,0,0,0,35.32%,2/10/2022
0,1181.1,1188,0,0,0,37.25%,N/A,3275,48.48,56.3,57.7,-6.89,4,0,35.01%,2/11/2022
0,1158.3,1165.2,0,0,10,36.91%,N/A,3300,42.8,58.4,59.7,0,0,0,34.70%,2/10/2022
0,1135.6,1142.4,0,0,0,36.56%,N/A,3325,42.44,60.5,61.9,0,0,0,34.39%,2/10/2022
0,1113,1119.7,0,0,0,36.22%,N/A,3350,54.14,62.7,64.1,3.09,1,417,34.08%,2/11/2022
"1,175.21",1090.5,1097.1,0,0,0,35.89%,1/20/2022,3375,68.3,65,66.4,12.32,34,0,33.78%,2/11/2022
"1,063.02",1068,1074.6,0,0,5,35.55%,7/23/2021,3400,58.7,67.4,68.8,3.16,1,0,33.48%,2/11/2022
0,1045.7,1052.1,0,0,0,35.22%,N/A,3425,75.38,69.8,71.4,8.26,2,0,33.18%,2/11/2022
0,1023.5,1029.8,0,0,0,34.89%,N/A,3450,71.18,72.4,73.9,21.38,7,0,32.88%,2/11/2022
0,1001.3,1007.6,0,0,0,34.57%,N/A,3475,73.83,75.1,76.7,22.44,4,15,32.59%,2/11/2022
"1,128.20",979.3,985.5,0,0,0,34.25%,1/20/2022,3500,79.66,77.9,79.5,26.04,464,2,32.30%,2/11/2022
0,957.4,963.5,0,0,0,33.93%,N/A,3525,69.96,80.8,82.4,15.13,2,79,32.01%,2/11/2022
939.3,935.6,941.6,0,0,0,33.62%,7/30/2021,3550,84.3,83.9,85.4,26.53,74,0,31.68%,2/11/2022
"1,074.05",913.9,919.8,0,0,0,33.31%,1/18/2022,3575,89.53,87,88.6,29.36,202,5,31.44%,2/11/2022
928.91,892.3,898.1,0,0,0,32.99%,1/21/2022,3600,83.85,90.3,91.9,0,0,167,31.16%,1/31/2022
"1,016.28",870.9,876.6,0,0,0,32.69%,1/20/2022,3625,96.03,93.6,95.3,18.56,4,0,30.88%,2/11/2022
0,849.6,855.1,0,0,0,32.38%,N/A,3650,96.06,97,98.8,15.4,9,0,30.59%,2/11/2022
0,828.4,833.9,0,0,0,32.08%,N/A,3675,100.85,100.6,102.5,15.22,252,0,30.22%,2/11/2022
773.45,807.3,812.7,0,0,0,31.78%,10/12/2021,3700,104.6,104.4,106.3,15.67,109,0,29.95%,2/11/2022
"1,136.41",786.4,791.7,0,0,0,31.48%,1/4/2022,3725,107.61,108.3,110.2,13.51,28,155,29.76%,2/11/2022
917.96,765.6,770.8,0,0,0,31.18%,1/20/2022,3750,117.03,112.3,114.3,31.87,93,2,29.48%,2/11/2022
885.31,745,750,0,0,0,30.88%,1/20/2022,3775,118.78,116.4,118.5,17.33,6,0,29.20%,2/11/2022
693.85,724.4,729.4,0,0,0,30.58%,10/12/2021,3800,106.46,120.8,122.9,19.71,2,0,28.93%,2/11/2022
738.16,704.1,709,0,0,0,30.29%,1/31/2022,3825,133.44,125.3,127.4,28.51,11,0,28.66%,2/11/2022
752.57,683.9,688.7,0,0,0,29.99%,2/1/2022,3850,136.93,129.9,132.1,44.54,2,0,28.38%,2/11/2022
695.29,663.8,668.5,0,0,0,29.69%,1/31/2022,3875,145.97,134.5,136.9,32.89,64,0,28.10%,2/11/2022
681.19,644,648.5,0,0,0,29.40%,1/31/2022,3900,97.04,139.5,141.8,0,0,0,27.82%,2/9/2022
661.77,624.2,628.7,0,0,0,29.10%,1/31/2022,3925,145.1,144.5,147,44.4,108,0,27.48%,2/11/2022
648.1,604.6,609,0,0,0,28.80%,1/31/2022,3950,157.33,149.7,152.2,53.06,1,0,27.25%,2/11/2022
706.53,585.2,589.5,0,0,0,28.51%,2/2/2022,3975,152.5,155.1,157.7,26.93,9,0,26.97%,2/11/2022
621.43,566,570.2,0,0,0,28.21%,2/10/2022,4000,166.56,160.7,163.2,31.32,413,0,26.68%,2/11/2022
596.13,546.9,551,0,0,0,27.91%,1/31/2022,4025,168.3,166.4,169,27.73,126,1,26.45%,2/11/2022
596.43,528,532,0,0,0,27.61%,2/1/2022,4050,174.52,172.3,174.9,30.44,42,0,26.19%,2/11/2022
608.51,509.3,513.2,0,0,0,27.31%,2/9/2022,4075,176.97,178.4,181,25.25,2,1,25.81%,2/11/2022
525.74,490.8,494.6,0,0,0,27.01%,1/31/2022,4100,187.07,184.6,187.3,55.97,105,20,25.61%,2/11/2022
453.8,472.4,476.1,0,0,0,26.70%,1/28/2022,4125,164.7,191.1,193.8,27.22,38,20,25.22%,2/11/2022
488.98,454.3,457.9,0,0,0,26.39%,2/4/2022,4150,176.28,197.7,200.5,13.4,1,0,24.91%,2/11/2022
536.1,436.3,439.8,0,0,0,26.08%,2/10/2022,4175,150.1,204.5,207.4,0,0,0,24.61%,2/9/2022
417.71,418.5,421.9,-47.83,2,0,25.76%,2/11/2022,4200,213.88,211.5,214.4,24.28,88,0,24.37%,2/11/2022
490.58,400.9,404.2,0,0,0,25.44%,2/9/2022,4225,189,218.8,221.7,0,0,12,23.98%,2/4/2022
431.77,383.5,386.8,0,0,0,25.12%,2/3/2022,4250,231.96,226.2,229.2,66.61,29,2,23.66%,2/11/2022
390.17,366.3,369.5,0,0,0,24.79%,2/8/2022,4275,230.6,233.9,236.9,26.7,1,2,23.34%,2/11/2022
372.53,349.9,352.5,0,0,2,24.48%,2/8/2022,4300,202.7,241.6,245,22.61,1,0,23.02%,2/11/2022
419.7,333.2,335.7,0,0,0,24.15%,2/9/2022,4325,183.5,249.7,253.3,0,0,0,22.69%,2/10/2022
