,SPY.Adjusted,AAPL.Adjusted,CSCO.Adjusted,HON.Adjusted,KO.Adjusted,NKE.Adjusted,WBA.Adjusted,AMGN.Adjusted,CVX.Adjusted,IBM.Adjusted,MCD.Adjusted,PG.Adjusted,WMT.Adjusted,AXP.Adjusted,DIS.Adjusted,INTC.Adjusted,MMM.Adjusted,TRV.Adjusted,BA.Adjusted,GS.Adjusted,JNJ.Adjusted,MRK.Adjusted,UNH.Adjusted,CAT.Adjusted,HD.Adjusted,JPM.Adjusted,MSFT.Adjusted,VZ.Adjusted
5/3/1999,90.515129,0.381172,21.243095,35.476349,19.060966,6.231678,19.194105,24.110538,23.166687,66.457024,24.906927,26.586355,31.276516,28.963169,23.92071,19.687906,26.961811,17.154758,27.494757,NA,28.185207,31.705809,6.018761,18.229092,26.633705,29.238693,25.366343,20.609341
5/4/1999,89.222649,0.35762,20.308304,35.658096,18.974644,6.225477,18.093531,23.937435,22.769463,66.378761,24.059498,25.881147,29.835588,27.605949,23.537973,19.239571,26.979763,16.906137,27.574696,54.62389,27.392263,31.7899,6.234885,18.299006,25.737772,29.062017,24.790712,19.66671
5/5/1999,89.93145,0.361465,20.746489,35.476349,19.475336,6.200674,18.049503,24.704033,22.712715,66.417931,23.948973,25.722466,30.55607,28.094563,23.011724,19.970522,26.530993,17.048206,28.214102,53.65366,27.10393,32.658943,6.339674,18.211609,25.547733,28.333263,25.128149,20.009485
5/6/1999,89.379005,0.342238,19.992813,35.803486,19.095499,6.225477,17.873413,24.283638,22.201992,65.591904,24.059498,25.986919,29.072744,28.447426,22.868198,18.624846,26.459183,17.971645,28.733625,52.731945,28.149162,33.359779,6.116999,18.281527,24.760395,27.405756,24.751026,19.152534
5/7/1999,90.056519,0.352813,20.284939,37.584572,18.715672,6.25028,17.961462,25.173878,21.535221,68.099602,23.580523,25.651951,30.34416,29.248201,22.963879,19.014904,26.674604,18.753025,29.25316,57.534603,27.716648,33.415844,6.182491,17.669807,24.896141,27.692839,25.108299,19.945211
5/10/1999,89.608322,0.348006,20.425158,37.766319,18.525745,6.231678,17.697319,25.248056,21.847322,68.530617,23.285759,25.458014,30.640814,28.447426,22.772514,18.917379,27.051558,18.788538,28.174149,54.866447,26.923721,32.350578,6.169392,17.267828,24.488888,27.913662,25.306786,19.088274
5/11/1999,90.515129,0.344161,20.915916,36.966633,18.491213,6.498305,17.785372,25.346975,22.258743,69.275078,24.649015,25.845884,32.081745,27.755249,22.533304,19.443954,27.284929,18.966127,27.774509,54.817936,26.761528,32.098267,6.293829,17.669807,25.737772,28.267015,25.366343,19.902361
5/12/1999,91.223862,0.35762,22.201256,36.203316,18.353092,6.374291,18.093531,24.753487,21.492666,70.685646,24.612169,26.21611,31.573181,27.361656,22.341946,19.50246,26.961811,19.747511,27.303011,57.049492,27.302172,32.098267,6.339674,16.988188,25.629179,29.08412,25.564806,19.473902
5/13/1999,91.620003,0.355216,22.002607,36.021557,18.163174,6.25028,18.093531,25.297522,21.435919,77.111664,24.096342,25.951654,31.869825,27.090204,22.485466,18.741867,26.118132,20.457851,27.46339,56.806919,27.464348,32.743027,6.247983,16.95323,25.602037,29.680359,25.128149,20.052324
5/14/1999,89.2435,0.341276,21.581959,35.149204,18.02504,6.182072,17.961462,24.135265,21.435919,74.995781,23.801596,26.039816,31.446026,26.275877,22.485466,18.098288,25.93862,19.250267,27.583662,54.478363,26.858513,31.958109,5.999112,17.058094,25.249081,27.935757,24.413607,19.195391
5/17/1999,89.514496,0.341276,21.768908,35.149204,18.543005,6.194473,17.785372,23.368671,21.762213,74.447235,23.396301,26.551086,30.979858,26.411613,22.19842,18.546843,25.633448,19.143711,27.262926,53.265579,26.533163,32.266472,5.920521,17.093054,25.384832,27.781168,25.128149,20.052324
5/18/1999,89.347725,0.348006,21.722176,35.612862,18.991903,6.095262,17.697319,23.591232,21.159136,74.760689,23.985821,26.480574,31.488436,27.008774,22.628988,18.390827,25.292404,19.072678,28.024681,53.265579,26.135529,31.537603,5.972917,16.411425,25.683481,27.825346,24.989216,19.152534
5/19/1999,89.99398,0.347526,21.792288,35.904488,18.905575,5.971248,18.072521,24.011618,21.030628,73.937851,23.838438,26.797913,30.979858,27.117357,22.916039,18.624846,25.833635,19.711985,28.465698,53.799194,27.003103,31.621712,6.27418,16.219168,25.113325,28.333263,25.187695,19.66671
5/20/1999,89.451927,0.326856,21.453424,35.46706,18.76745,6.349488,18.645561,25.099691,21.416124,72.997475,23.617369,27.273932,30.174623,26.791618,22.820356,18.000774,25.851706,19.747511,28.626072,53.071545,27.473028,32.406631,6.981498,16.481335,25.194782,28.333263,24.909813,19.024012
5/21/1999,88.95166,0.337912,21.172991,35.576412,18.784727,6.4425,18.381081,24.234179,21.344734,72.213814,23.506828,27.432594,29.327032,26.113016,22.581146,17.786255,25.707178,19.783024,28.826536,52.392387,26.750053,31.986126,6.601643,16.673597,25.249081,27.891594,24.631933,19.024012
5/24/1999,87.47155,0.322531,20.448526,35.831562,18.456686,6.374291,18.381081,23.813789,20.987793,70.137115,22.843637,26.498196,29.030382,25.366541,22.868198,17.454708,25.96011,20.386806,28.465698,50.694447,26.171679,31.341379,6.28073,16.551241,24.923294,26.809498,24.532696,19.045433
5/25/1999,86.054001,0.319166,19.513739,34.920296,18.508472,6.064259,18.425156,23.887978,20.787922,69.3339,22.548882,26.6745,28.733715,24.864361,22.868198,16.499084,25.905916,20.884054,27.623753,50.063824,25.394468,30.612505,6.339674,16.411425,24.163088,26.080723,24.215118,18.916883
5/26/1999,87.012932,0.338873,20.401787,34.592236,18.922846,6.120065,17.940287,24.283638,21.487514,74.055405,22.696255,27.00947,29.115126,25.96372,22.963879,16.128531,25.671041,20.670954,26.501163,51.276619,26.027086,30.192001,6.182491,16.166739,25.004728,26.632824,24.929667,19.13113
5/27/1999,85.762146,0.334548,20.191458,33.097733,18.819252,5.847234,16.661989,24.8524,21.244795,72.72316,22.393148,26.515827,27.886112,25.380114,22.676832,16.577095,24.858112,19.818539,26.501163,52.586422,26.099373,29.603296,6.169392,15.485111,24.67894,25.705315,24.889971,18.531258
5/28/1999,86.856598,0.338873,20.378418,33.863201,18.922846,6.045657,16.397511,25.025499,21.130571,72.72316,22.725172,26.339525,28.903238,26.289442,22.2941,16.869627,24.785851,20.244743,26.982288,52.731945,26.78619,30.332172,6.11045,15.345291,24.570335,25.572805,25.62435,18.766924
6/1/1999,86.554291,0.344642,20.016182,34.300621,19.095499,5.989852,16.750145,24.506199,20.659424,70.215485,22.798962,26.974207,29.45418,25.665134,22.054888,15.816504,25.490396,19.818539,27.343111,49.821274,26.78619,30.556433,6.090802,16.428902,24.244553,25.484484,24.929667,18.809769
